code,displayName,category,styleType,recommendedBadge,notes
TL-H-3222,TL-H-3222 Dark Woven Linear Texture,Dark,Woven / Linear,TL-H-3222 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3226,TL-H-3226 Light Ripple Figured Grain,Light,Figured / Ripple,TL-H-3226 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3234,TL-H-3234 Dyed Red Burl Pattern,Dyed,Burl / Red Dyed,TL-H-3234 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-3240,TL-H-3240 Warm Teak Straight Grain,Warm,Straight Grain / Teak Look,TL-H-3240 · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-3242,TL-H-3242 Smoked Grey Linear Stripe,Smoked,Linear Stripe / Grey,TL-H-3242 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3248,TL-H-3248 Dark Geometric Grid Pattern,Dark,Geometric / Grid,TL-H-3248 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3256,TL-H-3256 Light Figured Oak Grain,Light,Figured / Oak Look,TL-H-3256 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3258,TL-H-3258 Dark Crosshatch Texture,Dark,Crosshatch / Decorative,TL-H-3258 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3262,TL-H-3262 Warm Figured Burl Grain,Warm,Figured / Burl,TL-H-3262 · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-3264,TL-H-3264 Light Chevron Grain,Light,Chevron / Light,TL-H-3264 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3266,TL-H-3266 Light Herringbone Pattern,Light,Herringbone / Pattern,TL-H-3266 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3268,TL-H-3268 Dyed Black White Geometric Pattern,Dyed,Geometric / High Contrast,TL-H-3268 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-3276C,TL-H-3276C Dark Walnut Crown Grain,Dark,Crown Grain / Walnut Look,TL-H-3276C · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3278C,TL-H-3278C Smoked Grey Figured Grain,Smoked,Figured / Grey,TL-H-3278C · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3280C,TL-H-3280C Warm Zebra Grain,Warm,Zebra / Warm,TL-H-3280C · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-3282,TL-H-3282 Dyed Blue Black Wave Pattern,Dyed,Wave / Blue Dyed,TL-H-3282 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-3294,TL-H-3294 Smoked Grey Diamond Pattern,Smoked,Diamond / Grey,TL-H-3294 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3298,TL-H-3298 Warm Orange Herringbone,Warm,Herringbone / Warm,TL-H-3298 · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-3300,TL-H-3300 Smoked Grey Burl Pattern,Smoked,Burl / Grey,TL-H-3300 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3302,TL-H-3302 Dark Chevron Grain,Dark,Chevron / Dark,TL-H-3302 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3304,TL-H-3304 Smoked Grey Diamond Pattern,Smoked,Diamond / Grey,TL-H-3304 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3306C,TL-H-3306C Warm Oak Straight Grain,Warm,Straight Grain / Oak Look,TL-H-3306C · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-3308,TL-H-3308 Light Oak Crown Grain,Light,Crown Grain / Oak Look,TL-H-3308 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3310,TL-H-3310 Smoked Grey Pinstripe,Smoked,Pinstripe / Grey,TL-H-3310 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3318,TL-H-3318 Light Chevron Grain,Light,Chevron / Light,TL-H-3318 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3320N,TL-H-3320N Light Oak Straight Grain,Light,Straight Grain / Oak Look,TL-H-3320N · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3322N,TL-H-3322N Warm Oak Straight Grain,Warm,Straight Grain / Oak Look,TL-H-3322N · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-3324,TL-H-3324 Warm Figured Wood Grain,Warm,Figured / Warm,TL-H-3324 · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-3326C,TL-H-3326C Dark Grey Straight Grain,Dark,Straight Grain / Dark Grey,TL-H-3326C · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3328,TL-H-3328 Smoked Crown Grain,Smoked,Crown Grain / Smoked,TL-H-3328 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3330,TL-H-3330 Dark Wenge Wavy Grain,Dark,Wavy Grain / Wenge Look,TL-H-3330 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3332,TL-H-3332 Light Burl Pattern,Light,Burl / Light,TL-H-3332 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3338C,TL-H-3338C Smoked Olive Grey Grain,Smoked,Straight Grain / Grey,TL-H-3338C · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3339,TL-H-3339 Dark Narrow Linear Stripe,Dark,Linear Stripe / Dark,TL-H-3339 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3350,TL-H-3350 Dark Woven Texture,Dark,Woven / Dark,TL-H-3350 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3352,TL-H-3352 Dyed Black White Fine Pattern,Dyed,Fine Pattern / High Contrast,TL-H-3352 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-3356,TL-H-3356 Light Straight Grain,Light,Straight Grain / Light Wood,TL-H-3356 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3374,TL-H-3374 Light Birdseye Burl Pattern,Light,Birdseye / Burl,TL-H-3374 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-360,TL-H-360 Dark Grey Straight Grain,Dark,Straight Grain / Dark Grey,TL-H-360 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-362,TL-H-362 Smoked Olive Straight Grain,Smoked,Straight Grain / Smoked,TL-H-362 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-378N,TL-H-378N Warm Golden Figured Grain,Warm,Figured / Warm,TL-H-378N · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-4,TL-H-4 Dyed Multicolor Chevron,Dyed,Chevron / Multicolor,TL-H-4 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-4002N,TL-H-4002N Light Natural Straight Grain,Light,Straight Grain / Light Wood,TL-H-4002N · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-438,TL-H-438 Light Linear Stripe Grain,Light,Linear Stripe / Light,TL-H-438 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-454C,TL-H-454C Light Maple Crown Grain,Light,Crown Grain / Maple Look,TL-H-454C · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-468C,TL-H-468C Smoked Oak Crown Grain,Smoked,Crown Grain / Smoked Oak,TL-H-468C · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-490C,TL-H-490C Light Oak Crown Grain,Light,Crown Grain / Oak Look,TL-H-490C · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-5,TL-H-5 Dyed Blue Grey Chevron,Dyed,Chevron / Dyed,TL-H-5 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-801N,TL-H-801N Dyed Black White Stripe Pattern,Dyed,Stripe / High Contrast,TL-H-801N · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-8042,TL-H-8042 Dark Wenge Linear Grain,Dark,Linear / Wenge Look,TL-H-8042 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-817N,TL-H-817N Light Herringbone Chevron,Light,Chevron / Herringbone,TL-H-817N · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-831N,TL-H-831N Light Checker Block Pattern,Light,Geometric / Checker,TL-H-831N · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-8601,TL-H-8601 Dark Grey Straight Grain,Dark,Straight Grain / Dark Grey,TL-H-8601 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-8605N,TL-H-8605N Light Natural Straight Grain,Light,Straight Grain / Light Wood,TL-H-8605N · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-863N,TL-H-863N Warm Grid Pattern,Warm,Grid / Decorative,TL-H-863N · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-8806C,TL-H-8806C Smoked Olive Crown Grain,Smoked,Crown Grain / Smoked,TL-H-8806C · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-8807C,TL-H-8807C Dark Walnut Straight Grain,Dark,Straight Grain / Walnut Look,TL-H-8807C · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-8816N,TL-H-8816N Dark Checker Block Pattern,Dark,Geometric / Checker,TL-H-8816N · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-900,TL-H-900 Smoked Grey Birdseye Pattern,Smoked,Birdseye / Grey,TL-H-900 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-906,TL-H-906 Smoked Light Birdseye Pattern,Smoked,Birdseye / Light Grey,TL-H-906 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-908,TL-H-908 Dyed Blue Birdseye Pattern,Dyed,Birdseye / Blue Dyed,TL-H-908 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-910,TL-H-910 Light Ivory Birdseye Pattern,Light,Birdseye / Ivory,TL-H-910 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-916,TL-H-916 Warm Birdseye Pattern,Warm,Birdseye / Warm,TL-H-916 · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-918,TL-H-918 Dyed Black Ivory Swirl Pattern,Dyed,Swirl / High Contrast,TL-H-918 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-920,TL-H-920 Warm Orange Burl Pattern,Warm,Burl / Warm,TL-H-920 · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-YGW1,TL-H-YGW1 Smoked Grey Chevron,Smoked,Chevron / Grey,TL-H-YGW1 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-YGW2,TL-H-YGW2 Dark Smoked Chevron,Dark,Chevron / Dark Smoked,TL-H-YGW2 · Dark,Visual classification for collection filtering; not a verified wood species.
